,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,region_nan,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
0,cape town,0.17953111576151437,1.9253143193241298,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1.175768592935841,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,kruger national park,0.4060480892480422,0.9502927557764971,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1.0312310184889757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,garden route,-0.04698585772501346,1.9253143193241298,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0.9925852746176869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,durban,-0.2735028312115413,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0.08037134713951817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,cairo,-0.5000198046980691,0.9502927557764971,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.22490130106810993,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,pyramids of giza,-0.3641096206061524,-0.9997503713187681,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,-0.5704499919951291,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,luxor,-0.5000198046980691,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,-0.1697270244596284,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,hurghada,-0.2735028312115413,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0.4750072927622153,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,marrakech,-0.3641096206061524,-0.0247288077711355,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,-0.014269809478160596,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,sahara desert (merzouga),-0.04698585772501346,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.29183050641794656,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,maasai mara,0.4060480892480422,0.9502927557764971,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1.0312310184889757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,nairobi,-0.2735028312115413,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0.08037134713951817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,diani beach,-0.04698585772501346,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0.6864718951470286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,serengeti national park,0.4060480892480422,1.9253143193241298,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1.3373487527333014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,zanzibar,-0.04698585772501346,0.9502927557764971,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0.6864718951470286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,mount kilimanjaro,0.4060480892480422,3.875357446419395,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1.798941120473215,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,ngorongoro crater,0.4060480892480422,-0.9997503713187681,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0.08037134713951817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,okavango delta,0.4060480892480422,0.9502927557764971,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1.0312310184889757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,chobe national park,0.17953111576151437,-0.0247288077711355,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,victoria falls,-0.04698585772501346,-0.0247288077711355,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0.29183050641794656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,etosha national park,0.17953111576151437,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,sossusvlei,0.17953111576151437,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,swakopmund,-0.04698585772501346,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0.29183050641794656,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,gorilla trekking (bwindi),0.4060480892480422,0.9502927557764971,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1.0312310184889757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,rwanda gorilla trekking (volcanoes np),0.4060480892480422,0.9502927557764971,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1.0312310184889757,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,seychelles (mahe),0.4060480892480422,1.9253143193241298,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1.3373487527333014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,mauritius,0.17953111576151437,1.9253143193241298,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1.175768592935841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,stone town (zanzibar),-0.2735028312115413,-0.9997503713187681,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-0.4758142779007483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,nairobi national park,-0.04698585772501346,-1.9747719348664006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,-1.2151059410166662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,johannesburg,-0.04698585772501346,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0.29183050641794656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,stellenbosch,0.17953111576151437,-0.9997503713187681,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,-0.0811973819598993,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,drakensberg,-0.2735028312115413,0.9502927557764971,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,hermanus,-0.04698585772501346,-0.9997503713187681,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,-0.2643660039928396,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,knysna,0.08892432636690323,-0.0247288077711355,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0.40464350119680087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,blyde river canyon,-0.2735028312115413,-0.9997503713187681,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,-0.4758142779007483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,isimangaliso wetland park,-0.04698585772501346,-0.0247288077711355,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0.29183050641794656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,tsitsikamma national park,-0.2735028312115413,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0.08037134713951817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,pilanesberg national park,0.17953111576151437,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0.4750072927622153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,port elizabeth,-0.2735028312115413,-0.9997503713187681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,-0.4758142779007483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,chefchaouen,-0.5000198046980691,-0.9997503713187681,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-0.725897410706738,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,fes,-0.5000198046980691,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,-0.1697270244596284,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,essaouira,-0.3641096206061524,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,-0.014269809478160596,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,atlas mountains,-0.2735028312115413,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0.08037134713951817,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,casablanca,-0.2735028312115413,-0.9997503713187681,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,-0.4758142779007483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,tangier,-0.3641096206061524,-0.9997503713187681,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,-0.5704499919951291,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
