place,state,tags,avg_cost_per_day,trip_duration,best_for,season,climate,popularity
Manali,Himachal Pradesh,"mountains,nature,adventure",1500,5,"friends, couples, family","mar,apr,may,jun,oct,nov",Cold,High
Shimla,Himachal Pradesh,"mountains,heritage,nature",1400,3,"family, couples","mar,apr,may,jun,oct,nov",Cold,Medium
Dharamshala,Himachal Pradesh,"mountains,spiritual,nature",1200,3,"solo, couples","mar,apr,may,sep,oct,nov",Cold,Medium
McLeod Ganj,Himachal Pradesh,"mountains,spiritual",1000,3,solo,"mar,apr,may,sep,oct,nov",Cold,Medium
Kasol,Himachal Pradesh,"mountains,nature",800,3,"friends, solo","mar,apr,may,jun,sep,oct",Cold,Medium
Dalhousie,Himachal Pradesh,"mountains,nature,peaceful",1300,3,"family, couples","mar,apr,may,jun,sep,oct",Cold,Medium
Kullu,Himachal Pradesh,"mountains,adventure,nature,rafting",1200,5,"friends, family","mar,apr,may,jun,oct,nov",Cold,Medium
Kufri,Himachal Pradesh,"mountains,adventure",1500,5,"family, couples, friends","dec,jan,feb,mar",Cold,Medium
Kasauli,Himachal Pradesh,"mountains,peaceful,nature",1600,3,"couples, family","mar,apr,may,sep,oct,nov",Cold,Medium
Chail,Himachal Pradesh,"mountains,nature,peaceful,luxury",2000,3,"couples, family","mar,apr,may,jun,sep,oct",Cold,Medium
Spiti Valley,Himachal Pradesh,"mountains,adventure,offbeat",1800,5,solo,"may,jun,jul,aug,sep",Cold,Offbeat
Bir Billing,Himachal Pradesh,"mountains,adventure,paragliding,nature",1200,5,"friends, solo","mar,apr,may,sep,oct,nov",Cold,Medium
Khajjiar,Himachal Pradesh,"mountains,nature,peaceful",1300,3,"family, couples","apr,may,jun,sep,oct",Cold,Medium
Kinnaur,Himachal Pradesh,"mountains,offbeat,nature",1500,3,family,"apr,may,jun,sep,oct",Cold,Offbeat
Chamba,Himachal Pradesh,"mountains,heritage,nature",1100,3,"family, couples","mar,apr,may,jun,sep,oct",Cold,Medium
Palampur,Himachal Pradesh,"mountains,nature,peaceful",1300,3,"couples, family","mar,apr,may,sep,oct,nov",Cold,Medium
Kaza,Himachal Pradesh,"mountains,offbeat,adventure",1600,5,solo,"may,jun,jul,aug,sep",Cold,Offbeat
Jibhi,Himachal Pradesh,"mountains,offbeat,nature",1000,3,couples,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Mashobra,Himachal Pradesh,"mountains,peaceful,nature,camping",1400,3,"couples, family","mar,apr,may,jun,sep,oct",Cold,Medium
Shoghi,Himachal Pradesh,"mountains,peaceful,nature,offbeat",1200,3,"couples, family","mar,apr,may,jun,sep,oct",Cold,Offbeat
Mussoorie,Uttarakhand,"mountains,nature",1500,3,"family, couples","mar,apr,may,jun,sep,oct",Cold,Medium
Nainital,Uttarakhand,"mountains,lakes,nature,boating",1400,3,"family, couples","mar,apr,may,jun,sep,oct",Cold,Medium
Rishikesh,Uttarakhand,"spiritual,adventure,rafting",1000,5,solo,"sep,oct,nov,dec,jan,feb,mar",Moderate,Medium
Haridwar,Uttarakhand,"spiritual,heritage",800,3,family,"sep,oct,nov,dec,jan,feb,mar",Moderate,Medium
Auli,Uttarakhand,"mountains,skiing,adventure",2000,5,couples,"dec,jan,feb,mar",Cold,Medium
Lansdowne,Uttarakhand,"mountains,peaceful,nature,offbeat",1200,3,"couples, family","mar,apr,may,jun,sep,oct",Cold,Offbeat
Almora,Uttarakhand,"mountains,nature,culture",1100,3,family,"mar,apr,may,jun,sep,oct",Cold,Medium
Ranikhet,Uttarakhand,"mountains,peaceful,nature",1200,3,"couples, family","mar,apr,may,jun,sep,oct",Cold,Medium
Chopta,Uttarakhand,"mountains,trekking,nature,offbeat",1000,5,friends,"apr,may,jun,sep,oct",Cold,Offbeat
Valley of Flowers,Uttarakhand,"mountains,nature,trekking",1500,5,friends,"jul,aug,sep",Cold,High
Kausani,Uttarakhand,"mountains,nature,peaceful",1100,3,couples,"mar,apr,may,jun,sep,oct",Cold,Medium
Binsar,Uttarakhand,"mountains,nature,offbeat",1400,3,couples,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Mukteshwar,Uttarakhand,"mountains,adventure,nature,offbeat",1300,5,couples,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Chakrata,Uttarakhand,"mountains,offbeat,nature,waterfalls",1200,3,family,"mar,apr,may,jun,sep,oct",Cold,Offbeat
Kanatal,Uttarakhand,"mountains,peaceful,nature,camping",1300,3,couples,"mar,apr,may,jun,sep,oct",Cold,Medium
Srinagar,J&K,"mountains,lakes",1800,3,"couples, family","apr,may,jun,jul,aug,sep",Cold,Medium
Gulmarg,J&K,"mountains,skiing,adventure",2500,5,couples,"dec,jan,feb,mar,apr,may",Cold,Medium
Pahalgam,J&K,"mountains,nature,trekking",2000,5,family,"apr,may,jun,jul,aug,sep",Cold,Medium
Leh,Ladakh,"mountains,adventure",2000,5,friends,"may,jun,jul,aug,sep",Cold,Medium
Ladakh,Ladakh,"mountains,adventure,lakes",2200,5,friends,"may,jun,jul,aug,sep",Cold,Medium
Sonamarg,J&K,"mountains,nature,trekking",1800,5,friends,"may,jun,jul,aug,sep",Cold,Medium
Nubra Valley,Ladakh,"mountains,desert",2500,6,family,"jun,jul,aug,sep",Cold,Medium
Pangong Lake,Ladakh,"mountains,lakes",2000,6,family,"may,jun,jul,aug,sep",Cold,Medium
Kargil,J&K,"mountains,heritage,offbeat",1500,3,family,"may,jun,jul,aug,sep",Cold,Offbeat
Patnitop,J&K,"mountains,nature,peaceful,skiing",1600,3,"family, couples","dec,jan,feb,mar,apr,may",Cold,Medium
Goa - North,Goa,"beach,nightlife,water-sports",1500,3,friends,"oct,nov,dec,jan,feb,mar",Tropical,High
Goa - South,Goa,"beach,peaceful,nature",1800,3,"couples, family","oct,nov,dec,jan,feb,mar",Tropical,Medium
Palolem Beach,Goa,"beach,peaceful",1200,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Arambol Beach,Goa,"beach,peaceful",1000,3,solo,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Agonda Beach,Goa,"beach,peaceful,nature,offbeat",1400,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Varkala,Kerala,"beach,spiritual",1300,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Alleppey,Kerala,nature,2000,3,"couples, family","oct,nov,dec,jan,feb,mar",Tropical,Medium
Kovalam,Kerala,beach,1800,3,"family, couples","oct,nov,dec,jan,feb,mar",Tropical,Medium
Gokarna,Karnataka,"beach,peaceful",900,3,friends,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Pondicherry,Tamil Nadu,"beach,heritage",1200,3,"couples, solo","oct,nov,dec,jan,feb,mar",Tropical,Medium
Mamallapuram,Tamil Nadu,"beach,heritage",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,High
Visakhapatnam,Andhra Pradesh,"beach,nature",1200,2,"family, couples","oct,nov,dec,jan,feb,mar",Tropical,High
Puri,Odisha,"beach,spiritual,heritage",1000,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Diu,Maharashtra,"beach,peaceful,heritage,offbeat",1300,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Daman,Maharashtra,"beach,peaceful,heritage",1100,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Tarkarli,Maharashtra,"beach,water-sports,offbeat",1400,3,friends,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Alibaug,Maharashtra,beach,1500,2,"family, friends","oct,nov,dec,jan,feb,mar",Tropical,Medium
