,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
0,cape town,4000,5,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,9.90353755128617,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,kruger national park,4500,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,9.798182590890704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,garden route,3500,5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,9.770013301136158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,durban,3000,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,9.105090961257085,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,cairo,2500,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,9.210440366976517,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,pyramids of giza,2800,2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,8.630700432209832,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,luxor,2500,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,8.922791623969637,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,hurghada,3000,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,9.392745258631441,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,marrakech,2800,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,9.036106025364846,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,sahara desert (merzouga),3500,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,9.259225769705994,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,maasai mara,4500,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,9.798182590890704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,nairobi,3000,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,9.105090961257085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,diani beach,3500,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,9.546884034617925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,serengeti national park,4500,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,10.021315031649332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,zanzibar,3500,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,9.546884034617925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,mount kilimanjaro,4500,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,10.357774570341576,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,ngorongoro crater,4500,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,9.105090961257085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,okavango delta,4500,4,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,9.798182590890704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,chobe national park,4000,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,victoria falls,3500,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,etosha national park,4000,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,sossusvlei,4000,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,swakopmund,3500,3,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,gorilla trekking (bwindi),4500,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,9.798182590890704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,rwanda gorilla trekking (volcanoes np),4500,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,9.798182590890704,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,seychelles (mahe),4500,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,10.021315031649332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,mauritius,4000,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,9.90353755128617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,stone town (zanzibar),3000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,8.699681400989514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,nairobi national park,3500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,8.160803920954665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,johannesburg,3500,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,stellenbosch,4000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,8.987321812850125,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,drakensberg,3000,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,9.392745258631441,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,hermanus,3500,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,8.853808274977197,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,knysna,3800,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,9.34145634983372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,blyde river canyon,3000,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,8.699681400989514,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,isimangaliso wetland park,3500,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,9.259225769705994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
