place,state,tags,avg_cost_per_day,trip_duration,best_for,season,climate,popularity
Manali,Himachal Pradesh,"mountains,nature,adventure,snow",1500,5,"friends,couples,families","mar,apr,may,jun,oct,nov",Cold,High
Shimla,Himachal Pradesh,"mountains,heritage,nature,colonial",1400,3,"families,couples,students","mar,apr,may,jun,oct,nov",Cold,Medium
Dharamshala,Himachal Pradesh,"mountains,spiritual,nature,buddhist",1200,3,"solo,spiritual,couples","mar,apr,may,sep,oct,nov",Cold,Medium
McLeod Ganj,Himachal Pradesh,"mountains,spiritual,budget,tibetan",1000,3,"solo,backpackers,students","mar,apr,may,sep,oct,nov",Cold,Medium
Kasol,Himachal Pradesh,"mountains,nature,hippie,budget",800,3,"backpackers,friends,solo","mar,apr,may,jun,sep,oct",Cold,Medium
Dalhousie,Himachal Pradesh,"mountains,nature,colonial,peaceful",1300,3,"families,couples,seniors","mar,apr,may,jun,sep,oct",Cold,Medium
Kullu,Himachal Pradesh,"mountains,adventure,nature,rafting",1200,5,"friends,adventure,families","mar,apr,may,jun,oct,nov",Cold,Medium
Kufri,Himachal Pradesh,"mountains,snow,adventure,winter",1500,5,"families,couples,friends","dec,jan,feb,mar",Cold,Medium
Kasauli,Himachal Pradesh,"mountains,peaceful,nature,colonial",1600,3,"couples,families,seniors","mar,apr,may,sep,oct,nov",Cold,Medium
Chail,Himachal Pradesh,"mountains,nature,peaceful,luxury",2000,3,"couples,families,luxury","mar,apr,may,jun,sep,oct",Cold,Medium
Spiti Valley,Himachal Pradesh,"mountains,adventure,offbeat,buddhist",1800,5,"adventure,photographers,solo","may,jun,jul,aug,sep",Cold,Offbeat
Bir Billing,Himachal Pradesh,"mountains,adventure,paragliding,nature",1200,5,"adventure,friends,solo","mar,apr,may,sep,oct,nov",Cold,Medium
Khajjiar,Himachal Pradesh,"mountains,nature,peaceful,scenic",1300,3,"families,couples,nature","apr,may,jun,sep,oct",Cold,Medium
Kinnaur,Himachal Pradesh,"mountains,offbeat,nature,apple",1500,3,"adventure,photographers,nature","apr,may,jun,sep,oct",Cold,Offbeat
Chamba,Himachal Pradesh,"mountains,heritage,nature,temples",1100,3,"heritage,families,couples","mar,apr,may,jun,sep,oct",Cold,Medium
Palampur,Himachal Pradesh,"mountains,tea,nature,peaceful",1300,3,"couples,families,nature","mar,apr,may,sep,oct,nov",Cold,Medium
Kaza,Himachal Pradesh,"mountains,offbeat,adventure,monasteries",1600,5,"adventure,photographers,solo","may,jun,jul,aug,sep",Cold,Offbeat
Jibhi,Himachal Pradesh,"mountains,offbeat,nature,budget",1000,3,"backpackers,nature,couples","mar,apr,may,jun,sep,oct",Cold,Offbeat
Mashobra,Himachal Pradesh,"mountains,peaceful,nature,camping",1400,3,"couples,families,camping","mar,apr,may,jun,sep,oct",Cold,Medium
Shoghi,Himachal Pradesh,"mountains,peaceful,nature,offbeat",1200,3,"couples,families,nature","mar,apr,may,jun,sep,oct",Cold,Offbeat
Mussoorie,Uttarakhand,"mountains,nature,colonial,scenic",1500,3,"families,couples,honeymoon","mar,apr,may,jun,sep,oct",Cold,Medium
Nainital,Uttarakhand,"mountains,lakes,nature,boating",1400,3,"families,couples,students","mar,apr,may,jun,sep,oct",Cold,Medium
Rishikesh,Uttarakhand,"spiritual,adventure,yoga,rafting",1000,5,"solo,adventure,spiritual","sep,oct,nov,dec,jan,feb,mar",Moderate,Medium
Haridwar,Uttarakhand,"spiritual,religious,heritage,ghats",800,3,"families,spiritual,pilgrims","sep,oct,nov,dec,jan,feb,mar",Moderate,Medium
Auli,Uttarakhand,"mountains,snow,skiing,adventure",2000,5,"adventure,skiing,couples","dec,jan,feb,mar",Cold,Medium
Lansdowne,Uttarakhand,"mountains,peaceful,nature,offbeat",1200,3,"couples,families,peaceful","mar,apr,may,jun,sep,oct",Cold,Offbeat
Almora,Uttarakhand,"mountains,nature,temples,culture",1100,3,"families,heritage,nature","mar,apr,may,jun,sep,oct",Cold,Medium
